id,scenario_id,category,title,description,listing_price,buyer_target,buyer_cost,seller_target,seller_cost
583,S_eIypAH9FQ31VFs2H,housing,First Floor large1 bedroom / 1 bath w/vanity area,"EXPERIENCE THE DIFFERENCE! Relax, enjoy, & live where Customer Service is Priority One. Be part of a Community whose Management values your business, respects your privacy, & takes pride in maintaining your apartment home. You can feel comfortable knowing that you have a community manager living on-site to provide the best possible service and on- site maintenance to provide our best service for your home. Call us today, because we are not just another apartment to move to, but a place you can call home. A commuter's dream, we are within walking distance of BART. Our gated community has many of the amenities you may be looking for such as an on-site laundry facility, barbecue area, off street parking, sparkling pool. We are close to everything including shops, schools, restaurants, etc. Call now, see, and rent your new apartment home today! Enjoy a stroll on our redwoods lined walkways, take a dip in our sparkling pool, enjoy a picnic at our barbecue area! See pictures and more information at : www.marcotteproperties.com",1895,1137,1895,1895,930
584,S_Pvtkua9rw7E8B2TH,furniture,Entertainment center from Rc wiley,"1 year old rc wiley entertainment center. Like new. 4 pieces I had a 65 in tv in it might be able to hold up to70"" Dimensions : overall width 116 inches  wide  92 inches  tall Tv opening  is 64 inches wide and 41 inches tall",600,360,600,600,347
585,S_QWeZ4XIhN6L8m9KY,housing,"Walk to Shops! Downtown Walnut Creek, $pecial savings, Ideal 1BR apt","We'll even waive your application fees! Ask the leasing manager for more details. The Arbors Walnut Creek, CA 94596 Dive right in to the superior shopping and delicious dining offered just blocks away from home in downtown Walnut Creek or step away from the hustle and bustle of it all in the comfy and quiet Arbors Apartments! ‎ Monday - Tuesday: 8:30 am - 4:30 pm Walnut Creek, CA 94596",1719,1306,1719,1719,1183
586,S_rKrrCBstRkC8Y2Ma,phone,LG GPad 7.0 PRISTINE CONDITION,"New LG G Pad V410 AT&T GSM Unlocked 7-Inch 4G LTE Wi-Fi 16GB Tablet immaculate condition!! The Device is unlocked so can be used with any GSM carrier locally and internationally. Condition : New other. comes in retail box with charger. Important Please ReadUnlockedAndroidTM 4.4 KitKat®MicroSD® Memory Slot Support up to 32 GBQualcomm® SnapdragonTM 400Quad-Core 1.2 GHz7.0"" HD+ IPS Display5 MP Camera with Touch & Shoot7"" HD+ IPS DisplayQPair™ - seamless Android™ smartphone interconnectivityQuickRemote™ - control your home entertainment systems on one screenDual Window multitasking capability - work with two compatible apps at once.",80,73,80,80,72
587,S_69khy9VqbRXJ6qWh,bike,"GMC Denali 700c Road Bike 25"" - BLUE","The GMC Denali is a 21-Speed Road Bike built around a lightweight aluminum road bike frame for racing or commuting. Shimano derailleur and Shimano Revo shifts that work. Affordable bike that rides great, and priced right due to cosmetic issues.",100,92,100,100,92
591,S_GL0i3h5e6Pgc4qtb,electronics,"Philips 40"" Ultra Slim ECO TV","Philips 40"" TV - Rarely used, like new More Info: http://www.usa.philips.com/c-p/40PFL7505D_F7/102cm-40-inch-class-full-hd-1080p-digital-tv We wall mounted this and will sell the mount with TV if requested.",600,360,600,600,292
594,S_QlmUZMeWmRjdfGYw,housing,"""FULLY REMODELED"" 3 Bdrm, 1 Bath, Single Family Home","Rooms: 3 bed / 1 bath Type: Single Family House City/Neighborhood: West Oakland Showing: By Appointment Only Utilities: Paid by tenant (not included in rent amount) Features: Hardwood Floor, Washer Dryer in unit, newly renovated To view more properties please visit smcrents.com and click on available and upcoming tab (call only) or",2695,2479,2695,2695,2453
595,S_eNGzYWl60HJWQh6G,housing,First Floor large1 bedroom / 1 bath w/vanity area,"EXPERIENCE THE DIFFERENCE! Relax, enjoy, & live where Customer Service is Priority One. Be part of a Community whose Management values your business, respects your privacy, & takes pride in maintaining your apartment home. You can feel comfortable knowing that you have a community manager living on-site to provide the best possible service and on- site maintenance to provide our best service for your home. Call us today, because we are not just another apartment to move to, but a place you can call home. A commuter's dream, we are within walking distance of BART. Our gated community has many of the amenities you may be looking for such as an on-site laundry facility, barbecue area, off street parking, sparkling pool. We are close to everything including shops, schools, restaurants, etc. Call now, see, and rent your new apartment home today! Enjoy a stroll on our redwoods lined walkways, take a dip in our sparkling pool, enjoy a picnic at our barbecue area! See pictures and more information at : www.marcotteproperties.com",1895,1743,1895,1895,1743
596,S_BOn8EaSWj0U0r3su,car,2013 Toyota Sienna XLE Minivan 4D,"2013 Toyota Sienna XLE Minivan 4D, Fully loaded.... Transmission: Automatic Mileage: 50000 Title: SALVAGE ( Due to a rear ended accident, and everything is fixed.) The car comes with smog, brake and lamp, and Dmv Vin verification certificates. If you guys interested, then call me at 925/497/five/912.",16900,10140,16900,16900,9497
597,S_TWnIOAJn1e3QoKmm,housing,Two Bedrooms Nice North Oakland Apartment - close to Bart & Berkeley B,"Hello There, We have a unit that has just vacated in North Oakland. It has 2 bedrooms (new-hardwood flooring),   1 full bath, Living room, Kitchen (with gas-range, dishwasher, micro-hood, garbage disposal, lots of cabinets), granite counter tops. Living room and kitchen are tiled. Laundry room is shared, with another unit. No charge. Fresh paint job will be done this week. Unit will be ready by June 1st move in, or sooner. Utilities included: Water, Garbage, Recycling, Taxes.",2500,1900,2500,2500,1854
598,S_G8v3xxXeBwW1y8NC,car,2010 Infiniti EX35  Sport--- Low Miles,"Mileage:	48,135 only Engine:	6-cly, 3.5L Drivetrain:	FWD title: Salvage , due to small accident in the side This is a nice and clean SUV , ,,title: Salvage , due to small accident in the side, Low miles only 48K , if you are looking for a nice SUV then, call me at 925-3 - 0 -3-7-2-8-3",8950,8234,8950,8950,8066
599,S_syIds51YICciVZDV,bike,"2016 Giant Defy Advanced 1 road bicycle, size XL","Pretty much brand new, only ridden two or three times.  My wife and I tried to get into riding these things, unfortunately my butt can't handle the narrow seat, and my back can't handle the hunched over position.   Price is firm.",1500,900,1500,1500,842
600,S_MST35XfqW8P7jdEN,electronics,Almost New Xiaomi Mi Pad,"Excellent condition, rarely used Xiaomi Mi Pad....read, watch, play, take pictures/videos, etc., all in one package. With Xiaomi Mi Pad original case. Specs: 7.9"" IPS High resolution 326 PPI, Gorilla Glass 3 2GB LPDDR3 RAM, 16GB Flash (128GB expandable) Dual band 802.11ac Wi-Fi, 2x2 MIMO antenna 6700mAh Lithium-ion Polymer battery Cash and pick up only....",200,120,200,200,108
601,S_iQrqBxB6AnsXP2vj,housing,Facing the Berkeley Hills  gorgeous 2x2.5 in DT!,"Domain Luxury Apartment Homes FLOOR PLAN: 2 Bedroom/ 2.5 Bath, Town home B Building Neighborhood: The Heart of Downtown Address: 1389 Jefferson Street Oakland, CA 94612 Property Type: Luxury Apartment Home Lease Term: We offer Flexible Lease Terms. 1-13 Months Domain, the Heart of Downtown Oakland! Our location offers convenient access to freeways, multiple train lines including Bart and Amtrak, award-winning schools, popular sidewalk cafes, a multi-cultural shopping experience, and excellent fine dining options. Stainless Steel Appliances Dishwasher Gas Stove Top and Oven In most units Microwave Granite Counters Large Double Glass Window Patio door /Balcony in some units Floor to Ceiling Glass in Many Homes Premium Plank Flooring in Most Homes Free AT&T Internet Offered Gated Parking Professional On-Site Management Serenity Studio Connect Cafe Storage Spaces Available Rotating Local Art Gallery 2 Blocks to City Center Bart Free Yoga Classes for Residents Domain Oakland Apartments Brittney 1389 Jefferson Street www.thedomainoakland.com *PRICES ARE SUBJECT TO CHANGE DAILY*",4092,3109,4092,4092,2849
602,S_3LnR2YwALowzYon0,furniture,Bunkbed,"Solid wood. Brand new. Never used. Dark or light finish. Solid Wood ""Maple"" BUNK Bed. Still in Crate. Brand New. Never Used. Includes Full Warranty. Can deliver. Cell 9*2*5*3*3*5*9*2*4*0.",175,133,175,175,126
603,S_sAdWkX5cPhLcgiJm,furniture,"Desk with Adjustable L-Shape, Solid Wood, Black",Width - 26 inches Length - 59.5 inches Length of L Wing (Maximum) - ~27.5 inches Length of L Wing (Minimum) - ~7.5 inches,140,84,140,140,84
606,S_mcI7kBVnYGcVwmTb,bike,Giant street bike,Not giant as in a giant rides it. Giant as in that's the brand name. 24 gears for some sweet jumps.,200,184,200,200,181
607,S_oz28AP1WN4EwnKJZ,electronics,V-moda Crossfade LP2 Over Ear Headphones,"V-moda crossfade LP2 headphones in excellent condition. Perfect for producing, dj gigs and all music listening needs. Very flexible and lightweight with a very comfy fit. Comes with microphone chord, case and adapter. Case had some scratches on it, but still works great. I lost the other metal shield for the headphones so the right side is matte black while the left is metal. This doesn't affect sound quality.",90,68,90,90,62
608,S_ko1SPYqYeDbkPx1j,housing,Near Montclaire apt 2br for rent,Near Montclaire very nice apartment for rent. 2 bedroom 1 bath 1 livingroom kitchen + own balcony. Laundry in the building. Attached garage. Sorry no pet and no smoking.,2100,1932,2100,2100,1909
609,S_x0CA8jrPZAMmUWZC,bike,Linear Recumbent Bicycle,"Linear recumbent bicycle for sale. This was built in Iowa, and has a welded reinforcement in the rear frame. This is the ""folding"" model, but's it's more of a ""can be compacted for storage or transport"" (see the last picture). LWB USS (Long Wheel Base, Under Seat Steering). Aluminum frame. 3X7 Sachs Dual Drive for 21 speeds. Two chain rings in front, no front derailleur, choose big or little ring before you start. 20""(BMX 406) in front and 26"" (Mtn 559) in rear. Primo Comet tires with kevlar belts. The tires are used, but should be good for the summer. Put new tires on your Xmas wish list. Has two water bottle cages on the back of the seat. Comes with a minimal tool kit (folding allen wrench, ""dog-bone"" wrench, tire irons, glue-less tube patches and air pump [strapped to the rack support]) and solar charging LED ""see me"" lights.",340,258,340,340,255
610,S_bsX2NwTXIfU0ZpgS,phone,iPhone 4 x3 and iPhone 3G plus accessories....,"Used but all in working order. iPhone 3G, Black, 8GB iPhone 4G, Black, 16GB iPhone 4G, Black, 16GB, Cracked Screen iPhone 4G, White, 16GB Accessories as shown to include Otterbox, screen protectors, and car chargers.",175,161,175,175,160
611,S_0OfebvhnmiJFc3q5,furniture,Luxo Chrome Articulating Drafting Lamp,In excellent vintage condition and working order Selling as shown with no weighted base or desk clamp Located in Vallejo mid century Danish modern,75,45,75,75,44
612,S_mNGk0A9OuDbYNU09,phone,phone and computer repairs BTW 40TH & 41ST FOR AS LOW AS,+++ ++ phone and computer repairs at FRUITVALE FOR AS LOW AS 15 DOLLARS **RUKATECH COMPUTER  & PHONE SERVICES**** 4030B INTERNATIONAL BLVD +++ ++,15,11,15,15,11
613,S_8KgFg7ygj0XWsVgB,bike,"2016 Giant Defy Advanced 1 road bicycle, size XL","Pretty much brand new, only ridden two or three times.  My wife and I tried to get into riding these things, unfortunately my butt can't handle the narrow seat, and my back can't handle the hunched over position.   Price is firm.",1500,1140,1500,1500,1085
615,S_czSq01iC5dGZlBw1,housing,✅MOVE 9 MINUTES DRIVE FROM CAMPUS-- 1535 JULIA STREET✅,"Move into a newly renovated and super clean 1 bed 1 bath at 1535 Julia Street. At 9 minutes away from campus for students, washer place at Sacramento St and easy ascess to Ashby and Shatuck bart stations!
Youtube Video 
https://www.youtube.com/watch?v=fT3bOGphwl8",1950,1482,1950,1950,1439
616,S_pNEGZN6NnR8nRnCF,housing,ABSW Apartments- Open House Wednesday 5/17 3 pm-4 pm,"ABSW Studio Apartment Available Located in Southside, Berkeley, historically and popularly known as the epicenter of college life at Cal. Take pleasure in outdoor activities at your convenience by being just blocks away from Underhill Field and the historic People's Park. Eat up at the nearby Berkeley dining commons -- Crossroads or Cafe 3 -- or visit the Durant Food Court located on Telegraph Ave for a wide variety of ethnic cuisines. ABSW Apartments is the ideal place for students desiring that perfect mix of campus life and local social activities! -Charming & classic architecture (originally built in 1931) -- Recently renovated! -Seismically-reinforced building -Double-pane windows throughout entire building www.abswapartments.com/",1950,1794,1950,1950,1754
617,S_NMZj5wvBccw3sNS6,housing,Furnished Studio-Apartment across UC BERKELEY!,"This is a modern renovated studio apartment in Berkeley. The apartment design offers modern furniture, upscale features with custom finishes. The apartment is a short distance from BART and UC Berkeley campus. Featured in this apartment is a beautiful kitchen and eat in area. This apartment includes two beds and a renovated bathroom. With Academic Housing Rentals you also have the option to customize your layout for a flat fee to suit the maximum allowed guests. We handle all utilities, apartment amenities, kitchen and bathroom essentials, and more! For more information, please visit: http://www.academichousingrentals.com/accomodations/warring1",2650,2014,2650,2650,1929
618,S_OiZLvvxMWPFj2NpL,furniture,Luxo Chrome Articulating Drafting Lamp,In excellent vintage condition and working order Selling as shown with no weighted base or desk clamp Located in Vallejo mid century Danish modern,75,69,75,75,68
619,S_xvqGSAJweLmFOcEK,housing,Live/work 3br apt. ner West Oak. Bart & S.F.,2950.00 for a 3 bedrooms and 2 Bathrooms Live/work apartment near the West Oakland Bart Station and about 10 minutes to San Francisco via Bay Bridge this space is 10 ft. ceiling the floors are ceramic title and Laminated the ceiling have 2 skylights and 1 off street parking with laundry hookups the address is 333 Henry St. Oakland the deposit is 1500.00 no section 8 if you have any question you can call Rafa at to schedule a time,2950,2242,2950,2950,2031
620,S_Hcw0OWLxcuoBIXns,bike,Vintage Gazelle Sport A 3 speed bicycle Best Offer,"Beautiful 1950's - 1960's Gazelle bike. I spent several hours detailing  the paint and chrome. I got a lot of rust off the rims , handle bars, chain guard, front fork piece. Look at the before and after pictures. The only thing un-original is the Schwinn seat. It has a lot of extra parts, brakes well, beautiful logo, frame is numbered, well taken care of, it has it's battle scars. The only thing that night be missing is the air pump that I believe goes on the 2 pins inside the frame. Look at pictures. I got this from an estate sale and the story behind this bike is that the original owner boughit it in Holland, circa 1950's, and was daily commuter for him. Serious buyers only please.",500,380,500,500,347
621,S_9n4mUsuN61bzVwxh,electronics,FOR SALE: Klipsch KW-100 120V Subwoofer,"Hi everyone, I am selling a Klipsch KW-100 120V Subwoofer. Though this model has been discontinued, my item is brand new and just out of the box. A friend gave it to me when she moved out of her last apartment. Pick-up only. Message me if you are interested!",50,30,50,50,25
622,S_VVKmslot17azSI9s,furniture,Pendant Lights with Murano Glass (Moving Sale),"Brushed nickel finish Condition: Structurally Sound Excellent Working Condition Search Steve2017 for my other listings or simply click on the ""more ads by this user"" link found under the map. Please email me if you are interested. Serious inquiries only.",500,300,500,500,270
623,S_ViF90byetaU3j2iO,furniture,Natuzzi Italian Leather Sofa,"Excellent, well cared for leather Natuzzi sofa - modern look. ONLY had for a year. No rips, tears, scuffs. Quality Italian leather. Italian leather. http://www.natuzzi.us/ Color is a very light grey.",415,315,415,415,310
624,S_JtIyUU1mrSrsfQJQ,bike,Fully custom cannondale capo track bike,"Great track and crit bike Front wheel: 510 track wheel Cog: surly Bars: bmc compact road bars with lizard skin bar tape Stem: Itm mantis Light weight spacers Tires: continental gator skin rear, vredstein fortezza front",600,456,600,600,427
625,S_gZh3AkOsrdwx7PRx,furniture,Sofa and arm chair SEA GRASS Natural Fiber ! :),"We're selling a 2 piece furniture set. Sofa, and Chair, ""We have the CUSHIONS ,BUT NO FABRIC""!!! Color toasted pecan. This high quality sofa in excellent condition !I wash the covers and the fabric shrunk, but the cushions are in excellent condition,clean, perfect !!! Interested buyer(s) must provide own transportation such as pick-up truck.And help,because this is heavy ! I'll be gladly to schedule an arrangement at convenient time thru appointment for your visual inspection. Here are some links with specs: http://www.ebay.com/itm/D-Art-Seagrass-Dining-Chair-2pcs-/191712125186 Email if you have any questions, or if you'd like to come by to see them. Sofa: 94 inches across x 31 inches tall x 30 inches deep. Chair :38 inches across x 31 inches tall x 30 inches deep. Payment can be accepted in ""ONLY"" cash! Thank you.",1150,690,1150,1150,599
627,S_fbuY3xDLXCwjNl5t,bike,2013 Felt Z3,"Great bike for riders looking for a more comfortable ride, Felt's Z series is made for endurance or longer distance riding and is a very comfortable bike to ride. Bike has recently received a full tune up and is ready to go. Crankset: FSA Energy Compact",1300,988,1300,1300,921
629,S_pzEBETFokAPJUWjQ,bike,2014 Specialized Fate Expert Carbon 29 Medium,"29 in. Carbon wheels, carbon cranks, XTR rear derailleur,  RockShox SID w/ brain, Magura disk brakes, front through axle (2014 fist year) etc. This bike has been very gently used and is in like new condition. Never raced. (Pedals not included) If the post is up it's still available. Thanks for looking! Key words: stumpjumper, epic, camber Scott, ft, bmc, felt, Santa Cruz, highball",2600,1560,2600,2600,1482
630,S_bSFHMJDeRubKqVx7,housing,Large 2 bedroom!,"Large 2 Bedroom. 2 Bath. walk-In Closets. Small Deck. ""Listed Price is With Student Discount."" Call or text to make an appointment Walk Score: 74 Bike Score: 52 Transit Score: 77",3800,2280,3800,3800,2066
631,S_zqt2YaPHq9ez6AiY,housing,"master bedroom, living room and dining room all have great Bay Views.","Enjoy this beautiful and updated home with panoramic Bay View and a large yard for your gardening passion. 4 bedroom 2 bathrooms, master bedroom, living room and dining room all have great Bay Views. Cottage in the yard can be office, workshop, studio or anything you can thing off. Great family neighborhood, close to highway 580 and 13. Public transportation on 35th ave and McArthur St. where you can take the express Transbay",1500,1380,1500,1500,1357
632,S_JE8Xt2CkwngMKtiW,housing,All New Floors!! Washer/Dryer Down Town Danville,"Call Now - Follow The Link Below: http://rent.braddockandloganhomes.com/2t59s6 This is a 1 Bedroom, 1 Bath, approximately 700 Sq. Ft. The Danville Park Apartments are located in Danville, CA. Danville Park is a community with a hard working staff that wants to make your experience here the best experience possible. Here at Danville Park we strive to provide a living environment like no other with our excellent selection of amenities. When visiting Danville Park Apartments we want you to feel at home and know that we care. Driving Directions: Call for directions Office Hours: Equal Housing Opportunity",2250,2070,2250,2250,2047
635,S_G89ORmRuGJTIa66Q,electronics,GoPro Hero 3 Black edition,"Up for sale is a hero 3 black edition with waterproof case, 8g memory stick, and charger cable. GoPro works perfect in all settings.",130,119,130,130,119
637,S_v60E9LBd4F9YvkNC,furniture,Antique Chair,"This is a beautiful carved antique wood chair.   Its in good condition, but could perhaps use a new seat cushion.",15,13,15,15,13
638,S_QDaR1mQIhTBRTqFx,car,--2001 Dodge Ram 1500 Quad Cab /Clean Title,"Selling my 2001 Dodge Ram 1500 Quad Cab Short Bed, new tires, Registered , tow hitch Status: Clean Title Interior Color: Gray leather Interior Registration up to date - Will expire May 2017 Clean on the inside - no reap, smog, registered, new tires, auto transmission No check engine light, runs great, tuned up, Inside: Clean with gray seat, Miles 184K, no rip on anywhere inside. Option: radio with one key and power window buttons, Clean title Automatic, clean title and one owner AC/Heater Please text me at or call after 5pm if you are interested",3500,2100,3500,3500,1958
639,S_F2SKlnEpz0yIHG9w,electronics,McIntosh MC-2205 MC2205 stereo power amplifier amp,MC-2205 solid state amplifier. This unit works perfectly and sounds fantastic. Some peeling of silkscreen on faceplate around headphone jack. 200 real watts per channel. Wood cabinet sold. Bring your cd or vinyl for a great demo.,1550,1426,1550,1550,1415
640,S_J9Dggf07FN6WsM24,bike,"Centurion Road Bike, 55cm","Here is a super cool Japanese road bike from the 80's. Sunrims M13II, Bulletproof crank arm set, vittoria rubino tires, wellgo pedals with straps and lots of fancy stickers to keep or scrape off.  Might need a little love like a new chain and at the very least some air in the tires. I lost my presta adapter so the tires are very flat, not sure about the tubes. Hate to be getting rid of this sweet fixed gear bike. It looks good and when I rode it more it was a great bike but I've got a newer bike now and this one is neglected so it's time to let it go.",125,95,125,125,95
642,S_00OP4DG2Fc7rRh4P,electronics,Energy sub woofer,Energy sub woofer for sale. Item is in great condition. Original owner. If you are looking for a great sub woofer in great condition give me a call.,60,55,60,60,55
644,S_dQCbd5Tkl7NycNxN,phone,UNLOCK AND FLASH PHONES FIX BLOCKED PHONES,"UNLOCK YOUR FAVORITE SPRINT VERIZON ATT T-MOBILE METROPCS PRICES START AT 40 AND UP. CALL OR TEXT Business Location FLASH2UNLOCK.COM OPEN FROM 11-8PM, FEEL FREE TO CALL US ANYTIME. Walk in welcome, no need for appointment",40,30,40,40,28
645,S_9HIRBpGEI06nZBc3,electronics,JVC Digital Theater System TH-C5,"Digital Theater System, works great. You can connect it to your current blue ray. We unfortunately lost the remote during our move. Looking for 299 or best offer. Please text me if you have any questions Letty This complete home theater system includes a slim design silver DVD receiver with a progressive scan five-disc DVD changer and an amplifier that delivers 1002 watts of total power. It also has built-in Dolby Digital/DTS/Dolby Pro Logic II decoders as well as two wood floor-standing front tower speakers and a powerful 10"" subwoofer. 5.1ch Dolby Digital, DTS and Dolby Pro Logic II Decoders Built-in SystemPower Output:Front / Center / Surround: 167 watts per channel*Subwoofer: 167 watts** Playable Formats: DVD-Audio/Video, DVD-RAM / -RW, DVD-R (Video Format), CD, CD-R/RW, SVCD/VCD, MP3/WMA/JPEG Digital Still (CD-R/RW / DVD-R/RW)",299,275,299,299,272
647,S_HvnlUR3QaetCx6YL,furniture,Denim Accent Chair,"One of a kind, handmade denim accent chair. Materials: Thonet-type bentwood chair, Love Moschino jeans. 3 ft tall (from floor to top of the back), 20"" tall from floor to seat, 18"" wide. Please, email day and time you would love to see it.",100,76,100,100,71
648,S_FoTauK839kw0Sl1T,bike,Original Shogun Bike,Perfect condition Shogun bike with original seats and pedals with Wild pizza box at the front and a pocket size locker. Selling only because we are moving abroad.,170,102,170,170,99
649,S_HiQfKnahgea3lsGs,furniture,Leather Sofa and Loveseat,Genuine Italian black leather sofa and loveseat in very good condition and comfortable Come from a smoke and pet free home!,320,243,320,320,241
650,S_U9XC7rFXNDLfTaB4,bike,Kids bike (Avico),"This is a bike that my son used briefly, but we are the second owners.  It was used for racing.  The bike is sturdy and it comes with training wheels.  It went through some serious reconditioning as the brakes are only two years old.",20,15,20,20,14
652,S_lH1VmsoYWJGq5zVr,bike,Crestline tandem bike,"The first miles of tandem riding may be difficult, as the tandem seems to swerve around the road.  One experienced rider and one less experienced rider will take  about 100 miles. Captains may take 50 miles to get used to handling the big bike even without a stoker. Captaining a tandem is very much like riding a loaded touring bike, except the luggage pedals. Try to be steady and predictable. Tandems don't handle like singles; you can't make sudden last second changes in direction or speed.  Stokers can make the problem much worse (without realizing it) by leaning  or attempting to steer. Stokers often lean slightly in an attempt to see around the captain. The stoker should be very quiet (little body movement) on the bike when you first start out until handling is in control and always quiet going downhill. . Stokers need to realize that their movements affect bike balance (steering)  Tandems are more stable at higher speeds than singles.",150,90,150,150,81
653,S_FdJanDMsOtFPyyV2,housing,Stunning and furnished 2/2 with an amazing view 6-12 months,"6 Captain Drive Unit-E234 Furnished rental for 6 months to a year (this is negotiable.) 1 assigned parking space and overflow parking available 4  pools, fitness center, tennis and more 24 hour security Watergate Market and deli right next door and open 365 days a year Minutes to Emeryville Public Market Free shuttle to BART, Transbay Bus, AC Transit Bus and casual carpool to SF right out your door! Close to freeways and minutes to SF by car or public transportation Laundry in building but NOT in the unit Email or text me for details Excellent credit and references necessary NO PETS or SMOKING",3500,2100,3500,3500,1714
654,S_hQU3B0H0Urbn9lC6,housing,Sunny Garden Inlaw,"Sunny Garden inlaw unit in highly desierable Glenview district of Oakland. walk to public transit, shopping and restaurants. Private entry, shared laundry,",1500,1140,1500,1500,1125
655,S_YRELB5eHfO3TgxH2,phone,IPhone 6 + gold Unlocked 16 GB,This is GSM unlucked phone in very good condition Comes with charger Please see pictures for details Text or call for more information thanks ..,350,266,350,350,251
656,S_McYqeejNE0hguob2,car,2013 Toyota Sienna XLE Minivan 4D,"2013 Toyota Sienna XLE Minivan 4D, Fully loaded.... Transmission: Automatic Mileage: 50000 Title: SALVAGE ( Due to a rear ended accident, and everything is fixed.) The car comes with smog, brake and lamp, and Dmv Vin verification certificates. If you guys interested, then call me at 925/497/five/912.",16900,12844,16900,16900,11637
657,S_VJpABNxfBWBttWQE,car,2003 Honda Civic EX Coupe,"2003 Honda Civic EX Coupe, 5-speed manual transmission, A/C, power locks and windows, automatic sliding sun roof, engine 1.7 liter, VTEC, 4-cylinder, runs great, great condition.  181,700 miles.  Call Joe if interested",3950,3634,3950,3950,3590
658,S_9UrAqRVT5BMUyta0,housing,BRAND NEW MODERN 4 BEDROOM APARTMENTS 2 BLOCKS TO UCB,"Brand new 4 bedroom apartments coming available this summer! These apartments are perfect for large groups of 8 -12+! This apartment building provides you with an excellent location! It is only two blocks from the UC Berkeley campus and just a few blocks from the Downtown Berkeley BART station and Telegraph Avenue! These units provide a brand new modern kitchen, abundant natural lighting for comfortable living, and they are well-maintained and organized units with a homey and relaxing appeal. The lease for this property would begin in August of 2017 and continue until May 31, 2018. The lease is renewable each year. Amenities & Features include: -Cable/DSL Ready - 2 Full bathrooms - Dish Washer -2 blocks to campus -1.5 blocks to Telegraph Avenue -On-site office management team -Clean, well-run apartment building If interested, please reply back to this craigslist post with your name, phone number, preferred email address and the following subject line: ""INTERESTED IN 4 BEDROOM.""",7995,4797,7995,7995,4535
659,S_QGK3zD6X43Cqb7cY,housing,BEAUTIFUL MODERN HOME IN TRACY FOR RENT,"Be prepared to fall in love! Renting this beautiful home which features crown molding throughout a well thought out floor plan with separate formal living and dining areas, large open kitchen and family room are perfect for entertaining that can flow out onto the large covered patio. There is a downstairs bedroom and full bath as well as an upstairs loft area with built in desks. All this has been spruced up with fresh paint and new carpet! Bright and roomy, when you enter you will be stunned! Its an extremely clean home and the family room is spacious. The kitchen has beautiful cabinets with detailing, and the rooms have organized closets! Its truly a beautiful home for a clean, responsible and happy family. Bathrooms:3 baths Single Family:2,377 sq ft Year Built:2000 These two policies are strictly enforced Lease 1 year minimum Please call Ataullah if interested, serious renters only",2349,1785,2349,2349,1618
660,S_w0OLM6gdzXmP2Fol,furniture,mid century Hekman walnut end tables (2),"His and hers matching solid walnut end tables. Refinished. His is 25"" x 28"" mid century, retro, antique, Danish, end tables, modern, vintage,",450,342,450,450,330
661,S_GyJa81hsBndDT837,electronics,Antenna indoor UHF/VHF digital & hdtv ready,"Please include PHONE # in reply! Enhance your local TV channel reception--works on all TVs. NEW, never been used. - 12 position fine tuning dial provides precise control of reception. - 32"" chrome-plated brass telescopic dipoles, that also also individually tilt - Scuff-proff base protects furniture. - Easy hook-up; instructions included (on back of box). MUST include PHONE # in replies!",12,7,12,12,6
662,S_ebhz9h3cxJiz6BJh,furniture,Majestic Spanish Armchair,"Nice Spanish style chair with great hand-carved details! Upholstery is in great shape. Chair is sturdy (not creaky), padding is firm, clean.",325,299,325,325,299
663,S_rkSXAA7Z4KFTS2F5,bike,"""Jaguar"" 7-speed Beach Cruiser. In Perfect riding condition","Excellent bike all around. Nothing needs work, just hop on a ride away~ I live in Richmond, near the BART station, and use this bicycle frequently.",80,73,80,80,72
664,S_IZmb0rCBSDxtesu0,electronics,"SAMSUNG S27D590  27"" PLS Panel Monitor","This LED monitor has served me very well and still looks amazing. Screen No scratches and no dead pixels and work great., Perfect/like new condition ..very barely used info page: http://www.samsung.com/levant/consumer/it/monitor/led-monitor/LS27D590PS/ZN/ ((includes power cord and HDMI )) I can bring a laptop so that you can test out the monitor .no return Please reply with your phone number. Sorry, I will NOT reply to emails without phone number. Thank you",150,138,150,150,136
665,S_sSARv8f2OEMDvP8Q,furniture,Denim Accent Chair,"One of a kind, handmade denim accent chair. Materials: Thonet-type bentwood chair, Love Moschino jeans. 3 ft tall (from floor to top of the back), 20"" tall from floor to seat, 18"" wide. Please, email day and time you would love to see it.",100,60,100,100,54
666,S_Kt3QoYoXd0uiPUGN,bike,★ BLACK 80cc/66cc MOTORIZED BIKE ENGINE KIT SALE!!! HIGHEST QUALITY★,"IN STOCK- HURRY WHILE SUPPLIES LAST!!! https://www.CaliforniaMotorbikes.com These are complete street legal kits, everything you need to convert your bicycle to a fun moped! We sell only the best bike engine kits with professional grade balanced engines. A balanced crank makes this engine run smoother, last longer with minimal vibration... Your bike and all parts attached to it will last longer and need less maintenance. www.CaliforniaMotorbikes.com If you buy today before 12 pm, USPS will deliver tomorrow to most parts of California",138,104,138,138,95
667,S_dzoTJGTtbPZbPpij,bike,TREK JET 20 S for 5-10 Year Old Kid,Fits 5-10 year old child depening on height Single Speed Coaster Brakes and Rear Hand Brake Low Miles Great Condition,100,92,100,100,91
