scenario_id,post_id,category,title,description,listing_price,images,buyer_target,buyer_bottomline,seller_target,seller_bottomline,intersection,target_gap
S_mUU8w87I7DAvbfUf,6132566112,housing,2 bed 1 bath 1750-1800 PLUS $500 towards your deposit,**Move in special ** Centralized AC Basketball court Plenary of parking One assigned covered parking Clayton Creek apartments Close to shopping and dining This offer only applies to OUR apartment that we are moving out of early. Call Clayton Creek Apartments and ask to see an apartment exactly like apt 123!!!,1785,housing/6132566112_0.jpg,1071,,1785,,1.0,714
S_gZjYtxgaHsAbvELF,6151736557,bike,Trek Wasabi 3-Speed Beach Cruiser,This cruiser is in good shape and priced to move. 17 inch 3-Speed Shimano nexus shifter. In great working condition. Could use a tune-up and some new tires. Check out the Bicycle Blue Book for value: https://www.bicyclebluebook.com/SearchListingDetail.aspx?id=3032980&make=750&model=67732,100,bike/6151736557_0.jpg,76,,100,,0.6,24
S_eoPFRmyc4DjUADf9,6148756399,phone,Speck Products CandyShell Inked Case for iPhone 6 6S Frosted Floral,"High resolution graphics. 100% Authentic Case. Wrapped with durable patterns that resist scratching and fading. Patented design provides two layers of protection in a single-piece construction that's easy to put on and take off for iPhone 6/6S. Military-grade drop tested onto a hard, unrelenting surface with phone retaining full functionality Hard shell exterior guards against impact, while glossy finish helps these covers slide in and out of pockets with ease Soft, rubbery interior and reinforced corners absorb shock from occasional bumps and drops Raised bezel protects screen from impact and adds grip so your phone can lie face down on tables or dashboards without sliding. Rubberized covers shield volume and power buttons while keeping them fully accessible.",25,phone/6148756399_0.jpg,15,,25,,1.0,10
S_aWg5hJgdhtJiSYO4,6140601964,electronics,Digital answering machine Conairphone Callkeeper,"Please include PHONE # in reply! NEW in box; color: Artic white, model#: TAD2014AW - Voice time/Day stamp - Call Screening - Digital message counter, and many more features (seen on back of box photo) MUST include PHONE # in replies!",18,electronics/6140601964_0.jpg,10,,18,,1.0,8
S_v8VY403JQ40xk10d,6132874934,housing,"2 baths, 655 s/f : Available 5-20-17","655 s/f + 25 ft balcony We pay for Central Heat and A/C hot and cold water, sewer garbage and recycling pickup All electric kitchens Cable ready 55ft swimming pool, oversized jacuzzy, saunas, covered parking large 24/hour laundry facility Walking distance to downtown Walnut Creek, shopping, trails, close to BART, freeways, schools! We offer unique services that add convenience to your daily living With your permission our staff will: - collect mail when you are away - accept packages from all courier services - provide access to your apartment for deliveries - access to stamps for mailing and quarters for laundry Please call for more information and to schedule and appointment. Sorry No Section 8 No Pets Allowed",1825,housing/6132874934_0.jpg,1387,,1825,,0.6,438
S_RgCl29j2FO4ygVq3,6151897699,bike,Custom Black Single Speed Bike,"Custom, single-speed bike with sourced parts. I bought this bike from Manifesto in fall 2016, and unfortunately, I have to sell it. Its condition is practically new. It's very lightweight and fun to ride. I'm 5'10"" and it fits me well. Sta-Tru wheels, Origin8 saddle. Price is negotiable.",500,bike/6151897699_0.jpg,300,,500,,1.0,200
S_NnRIifGchpjXvdW3,6108966282,furniture,Price Reduced - Mid Century Modern Walnut Nightstand / Side Table,"Beautiful walnut mid-century modern nightstand / end table / side table by Broyhill for their 'Saga' collection. Spacious drawer offers perfect amount of hidden bedside storage. Features the collections classic engraved stars, original pulls and elegantly tapered feet. CONDITION As expected for vintage furniture, they are in original condition and have not been restored. So there are the regular wear and tear that's consistent with it's age. Pieces are in excellent vintage condition, are extremely sturdy and drawer slides smoothly. If the AD is up, it's still available. Delivery is available for a nominal fee. Please include a phone number when emailing with questions. Thanks for looking!!",135,furniture/6108966282_0.jpg,124,,135,,0.2,11
S_INgbVNt19pIiVE3Z,6151555543,bike,"GMC Denali 700c Road Bike 25"" - BLUE","The GMC Denali is a 21-Speed Road Bike built around a lightweight aluminum road bike frame for racing or commuting. Shimano derailleur and Shimano Revo shifts that work. Affordable bike that rides great, and priced right due to cosmetic issues.",100,bike/6151555543_0.jpg,60,,100,,1.0,40
S_K4gSSvqE2dpE8WP1,6152918144,electronics,In-Ear Headphone with Mic awei ES700i Sky-blue  - NEW,"awei ES700i Sky-blue Super Bass High Performance In-Ear Headphone with Mic - NEW 1.   ES700i headphone design for iPhone/Samsung cell phone, with microphone, can talk with other, excellent sound quality, suitable for all kinds of you. 2.  It use the most fashionable flat wire (like noodles) design, use the Japan OFC oxygen free TPE material, not only beautiful but also enhanced the headphone cable from being ripped performance, more longer life. 3.  Powerful neodymium magnet unit design with noise isolating hi-definition technology.  You will enjoy the excellent sound. 4.  The headphones surface paint with piano UV and strong ultraviolet curing.  It makes the color bright and fresh. 5.  High-grade headset carrying hard case, store and carry more convenient. Package included: 1 x Headphone 1 x Clip for cable fixing 1 x Bag Extra Pairs of Ear-tips Pick up in San Leandro",15,,9,,15,,1.0,6
S_eiBQqG2JTk736ktM,6148254719,phone,IPHONE 6 16gB UNLOCKED#&!@$;@; AT&T/T MOBILE/ METRO,Excellent iphone 6 16g excellent condition firm price no lower no.more... 270 test your sim and buy Ready TO BE USED ON ANY NETWORK: VERIZON/T-MOBILE/AT&T; FOREIGN COUNTRIES... CLEAN ESN/ NO I CLOUD This is unlocked for any carrier. PRICE IS FIRM,250,phone/6149640896_0.jpg,190,,250,,0.6,60
S_ZdTvFLiP6RwYCfBN,6132726108,housing,"Spectacular executive home w/ chef's  kitchen and pool, Trestle Glen","Available 
Now! Year Lease Dogs and Cats Allowed (Extra deposit may be required) In Unit Office Hours are 9-5pm 
Closed for Lunch 12-1pm",5395,housing/6132726108_0.jpg,3237,,5395,,1.0,2158
S_p4wwZNhSR4d9MHfH,6132566112,housing,2 bed 1 bath 1750-1800 PLUS $500 towards your deposit,**Move in special ** Centralized AC Basketball court Plenary of parking One assigned covered parking Clayton Creek apartments Close to shopping and dining This offer only applies to OUR apartment that we are moving out of early. Call Clayton Creek Apartments and ask to see an apartment exactly like apt 123!!!,1785,housing/6132566112_0.jpg,1642,,1785,,0.2,143
S_6ZuxsbzMhSTcql3B,6133343675,car,2003 Chevy Express 3500 Cargo Van,"2003 Chevy express cargo van. Runs great, has a V8 engine & Automatic transmission. Clean title Call for more info 510-42 7-9555 Keywords: Chevy express gmc savanna cargo van work van",3950,car/6133343675_0.jpg,3634,,3950,,0.2,316
S_mHZjCe5oWmg9jrjV,6144572953,furniture,Stainless Architech lamps,Two nice stainless architect lamps in great condition 4ft tall extends another 2 ft neck Email me your phone number and I'll get back to you asap Thanks,120,furniture/6144572953_0.jpg,110,,120,,0.2,10
S_5eY28HOduSzTVMBB,6133343675,car,2003 Chevy Express 3500 Cargo Van,"2003 Chevy express cargo van. Runs great, has a V8 engine & Automatic transmission. Clean title Call for more info 510-42 7-9555 Keywords: Chevy express gmc savanna cargo van work van",3950,car/6133343675_0.jpg,2370,,3950,,1.0,1580
S_HyDBp9y0rsS0heao,6146143176,phone,New iPhone leather case  6/6+  SE / 5/5S - flip over high quality,"Flip Leather Case for iPhone   6/6+  SE / 5/5S SE Flip Leather Case - Hybrid Wallet Pouch Case Hard Cover - High Quality Protect your phone against dust, shock, blemishes scratches, bumps and other daily damage. It's unique design allows easy access to all buttons, controls and ports without having to remove the case. There is a plastic holder to keep the phone secure in the case. It has built-in pocket for cards, IDs and cash. Ideal when you go to the gym or for a walk as you can carry your phone, cards and cash safely without having to carry a bag. Headphones and chargers can be easily attached without having to remove the phone from the case. Features: Compatible with: Apple iPhone  SE / 5 / 5S / 6 / 6-plus 100% Brand new Colors available: White and Black Material: Made from PU Leather material It has 2 slots for credit cards and/or ID cards It also has a slot for cash notes Very easy to insert the case and take it off Full access for all features and ports",8,phone/6146184531_0.jpg,7,,8,,0.2,1
S_SSmrFXUAiBpzhXOx,6114458238,housing,This Gorgeous Home Won't be On The Market For Long .........,"CLEAN ! BIG HOUSE ! MOVE-IN SPECIAL!  Charm Very Spacious Family Home Available For A Low Price Awesome family home available for a low price You're chance to take advantage of the lease with options on this newly listed home 小may not last long. Several lease lengths to choose from  if you income qualify. If  BAD CREDIT ??  OK. Don't throw your money away every month, lease with options is available get it  today! This is simply best value on the mark for the price in this area.",2745,housing/6114458238_0.jpg,2086,,2745,,0.6,659
S_Fk6OF9ngjyqd9OFY,6132642815,housing,Ranch Style 3BD 2BA Bay Farm Island Home-1064 Camellia Drive,"Ranch style single family home with three bedrooms and two baths on Bay Farm Island. This recently remodeled single story home features wall to wall carpets, high valuated ceilings and built-ins cabinets throughout. Kitchen comes with electric stove, refrigerator and dishwasher. Storage space within the attached garage included in the rent. Huge private back yard and washer/dryer hookups for laundry. One year lease, no pets, tenant pays gas, electricity, water and garbage/recycling. Renter's insurance required, move-in-ready and no rental fee! Give our office a call at to schedule a viewing. One year lease, no pets, tenant pays gas, electricity, water, garbage & recycling. Laundry hookups on site, parking available in garage. Unit available now, renter's insurance required, no rental fee. Give our office a call to schedule a showing.",3400,housing/6132642815_0.jpg,2040,,3400,,1.0,1360
S_7FsbezDZkjPqaQNr,6116205244,electronics,Cisco Linksys E4200 V1,"If you are looking for a router which can perform: 1) Branded 4-in-1 router that can be used for Internet Sharing, Connecting Multiple Computers, Wireless b/g/N (Router, Switch & wireless & firewall capability) 2) Ultra speed Internet browsing supporting latest Wireless N technology 3) Very slick and slim router This has Cisco brand value & software support. Cash payment and Local Pickups only. No palypal shipping scam requests. You can view price & review of E4200 here: http://www.amazon.com/Cisco-Linksys-E4200-Dual-Band-Wireless-N-Router/dp/B004K1EZDS",90,electronics/6116205244_0.jpg,54,,90,,1.0,36
S_6Fa1wiEveRgKR73S,6133495793,car,2003 LINCOLN TOWN CAR SIGNATURE SERIES  JUST PASS SMOG,IM SELLING A 2003 LINCOLN TOW CAR SIGNATURE SERIES AM/FM CD PLAYER ICE COLD A/C NEW TIRES NEW BRAKES VARRY WILL TAKING CARE OF JUST SMOG CLEAN TITL RUNS LIKE NEW MILES 115K CALL FOR MORE INFO,3900,car/6133495793_0.jpg,3588,,3900,,0.2,312
S_yvJU07zGnQyFYygH,6138064853,furniture,"MOVING SALE - couches, fridge, tables, baby stuff","LOCATED IN TRACY, CA! Moving sale! We are moving and need to liquidate the following - email for more info or pics More to come. Text for additional pics/ info PU in tracy. First come first serve.",50,furniture/6138064853_0.jpg,46,,50,,0.2,4
S_XpzvrjzAnsB9o9HQ,6141733010,phone,LG GPad 7.0 PRISTINE CONDITION,"New LG G Pad V410 AT&T GSM Unlocked 7-Inch 4G LTE Wi-Fi 16GB Tablet immaculate condition!! The Device is unlocked so can be used with any GSM carrier locally and internationally. Condition : New other. comes in retail box with charger. Important Please ReadUnlockedAndroidTM 4.4 KitKat®MicroSD® Memory Slot Support up to 32 GBQualcomm® SnapdragonTM 400Quad-Core 1.2 GHz7.0"" HD+ IPS Display5 MP Camera with Touch & Shoot7"" HD+ IPS DisplayQPair™ - seamless Android™ smartphone interconnectivityQuickRemote™ - control your home entertainment systems on one screenDual Window multitasking capability - work with two compatible apps at once.",80,phone/6141768264_0.jpg,60,,80,,0.6,20
S_MVXaAvqNWIHGExfM,6133379841,car,1999 Toyota Corolla CE Sedan 4D Automatic -115k Miles -AC,"ABS (4-Wheel), air conditioning, power windows, power door locks, power steering, tilt wheel, cruise control, premium sound, auxiliary cord, dual air bags. 115k original miles, clean title, passed smog inspection, adult owned, great economy mileage.",3500,car/6133379841_0.jpg,2100,,3500,,1.0,1400
S_o2x1SqbdWxrhFbiN,6123121549,housing,SUMMER IS AROUND THE CORNER NEED A NEW STUDIO! CALL TODAY,"We have a very beautiful home and community waiting for you, with beautiful open floor plans, resort-style apartments, and amenities, including a fitness center, 2 swimming pools, whirlpool. The interior of your new home features spacious rooms, ocean views, and washers and dryers included in most homes. We are conveniently located just off the I-80, and I-780 freeway and minutes away from the public transportation, making it very easy for you to get wherever you need to in the bay area. Visit our website www.waterviewapartmenthomes.com for more information..... View your new home today! We are located at 801 Southampton Rd Benicia Ca 94510 right across the street from the Raley's Shopping Center. *UPGRADED UNITS COMING SOON with New Stainless Steel Appliances, Quartz Countertops, Brand New Carpet, Modern Laminate Floors, Cabinets, and more. Ask for upcoming availability. ◦",1448,housing/6102853412_0.jpg,1100,,1448,,0.6,348
S_kf6vJWV1uuyqVArX,6121474041,electronics,Digital Oscilloscope -4 Channels-150MHz (Hitachi -VC5810),"Manufacturer: Hitachi Excellent condition and works perfectly. Almost never use Features: Digital Storage with measurement parameter, windows comparators, and many others. High sample 100 Mega Samples/second External Display with VGA output, useful to see in bigger screen Set condition for Go and no-Go with external trigger Floppy Disk storage for waveform data to be exported to PC Many others Price including : 17"" LCD monitor, 2 of 150MHz probes and power cords I am in Bay Area, my cell :",490,electronics/6121474041_0.jpg,372,,490,,0.6,118
S_f1f4y44DiNuR9vN4,6137924471,bike,Schwinn Continental,"I bought this bike from the original owner and fixed it up, but stopped needing it to get to the bart station. I added some old schwinn handlebars and grips and Velo Orange fenders..Shifting is pretty good but it likely could use a tune-up. I'm not sure of the size - but i'm about 5'10"" and it's almost too large for me.",75,bike/6137924471_0.jpg,57,,75,,0.6,18
S_TOnhqggbLVJ1qX0J,6133440325,housing,"1x1 Ground Floor, Spacious, Balcony, Storage Near San Mateo Bridge","Call Now - This is a 2 Bedroom, 2 Bath, approximately 901 Sq. Ft. Located in ""The Heart of The Bay"" living at The Bridge Apartment Homes adds an unmatched level of comfort and convenience to your lifestyle! Bask in the sun at our resort-style pool or hydrotherapy spas, relax in our contemporary lounge, exercise in our state of the art fitness studio or study in our convenient business center. The perks don't stop there! Our leasing office is open 7 days per week to serve all of your needs. Features: Air conditioner, Microwave, Dishwasher, Large closets with built-in shelving, Stove, Refrigerator, Private deck with spacious storage Community Amenities: Tot Lot, Resident lounge, Beautiful landscaped courtyards with seating areas, Poolside Wi-Fi, 2 Hydrotherapy Spas, Picnic and BBQ area, Pet friendly community, 2 Swimming Pools, Online rent payment, Furniture rental options, Cardio and Strength Center, Business Center Use the link below for more details: http://lease.conam.com/uiLcd9 Equal Housing Opportunity",2311,housing/6133440325_0.jpg,1756,,2311,,0.6,555
S_lneUgX5HiyeTDbA7,6151736557,bike,Trek Wasabi 3-Speed Beach Cruiser,This cruiser is in good shape and priced to move. 17 inch 3-Speed Shimano nexus shifter. In great working condition. Could use a tune-up and some new tires. Check out the Bicycle Blue Book for value: https://www.bicyclebluebook.com/SearchListingDetail.aspx?id=3032980&make=750&model=67732,100,bike/6151736557_0.jpg,92,,100,,0.2,8
S_kdVbx5T1n0joeJf4,6125963619,housing,ABSW Apartments- Open House Wednesday 5/17 3 pm-4 pm,"ABSW Studio Apartment Available Located in Southside, Berkeley, historically and popularly known as the epicenter of college life at Cal. Take pleasure in outdoor activities at your convenience by being just blocks away from Underhill Field and the historic People's Park. Eat up at the nearby Berkeley dining commons -- Crossroads or Cafe 3 -- or visit the Durant Food Court located on Telegraph Ave for a wide variety of ethnic cuisines. ABSW Apartments is the ideal place for students desiring that perfect mix of campus life and local social activities! -Charming & classic architecture (originally built in 1931) -- Recently renovated! -Seismically-reinforced building -Double-pane windows throughout entire building www.abswapartments.com/",1950,housing/6125963619_0.jpg,1170,,1950,,1.0,780
S_woyARC6IhX2NcDDP,6137741831,bike,Torelli Brianza Road Bike - Vintage,"This is a beautiful Torelli frame, with a hodgepodge of high end components on it. It has been carefully built, from the frame up, and performs excellently. 54cm seat tube, 50cm top tube. Steel Frame. Good fit for someone 5'5 - 5'10"". 22lbs (light weight). We custom build bikes in many shapes and sizes, and this one is a special build. Features: 9-speed Forte shifters Duran Ace bottom bracket  (Italian) Cardiff leather saddle (brand new) Thompson 1"" headset Mavic CXP22 rims Shimano rear hub Campy mirage front hub In addition to high end components, the bike has been professionally assembled and tuned. If you have any issues with it, we would want you to bring it in for an adjustment. Worry free riding. Check out our other builds at: Facebook.com/boonationcustomcycles And our YELP reviews at: https://www.yelp.com/biz/boonation-custom-cycles-emeryville",700,bike/6137741831_0.jpg,644,,700,,0.2,56
S_AsuoxdecAfMULkWl,6117642532,electronics,30000mAh Solar Charger Outside Sport Camping Backup Battery LED Panel,"Need charge your Phone? Why not take charger with you. Anywhere you go you can use it. It can be regarded as a charger or a backup battery with USB output which can charge for mobile phone, video game, iPod, MP3, PDA, MP4, MP5, PMP and other device with USB charging by matched discharge output cable and plus adaptor.The best gift for your parents, girl friend, friends and yourself. Product Features LED Remaining Power Smart Tips: The battery indicator, 4-LED indicate (charging.full of  bright blue light.) 20pcs led light,800 Lumen (Max) Light Working Time: Max to 3 to 5 Hours (Full power) Dual USB Port, Input Voltage/Current: 5 to 5.5V/1000mA Battery Capacity:3.7v/30000mAh Solar Conversing Rate: 10 to 11% It can charge by sunshine or computer or AC power",21,electronics/6128709592_0.jpg,15,,21,,0.6,6
S_DPqgxUDeFNFM3LWR,6140683076,electronics,Canon Vixia HF R500 Camcorder,"Got this off of Amazon and then was gifted an Iphone.  Perfect for the person who does not own a smartphone or wants a camcorder that is just a bit ""better"" suited for taking videos than what most smartphones offer.  Comes in the box with all of the parts and wrappings as it would straight from the manufacturer. Click the link for a detailed description: https://www.amazon.com/Canon-Digital-Camcorder-Discontinued-Manufacturer/dp/B00HLDFTRS/ref=sr_1_5?ie=UTF8&qid=1495320575&sr=8-5&keywords=vixia+hfr500 Willing to send additional pics on request.",100,,60,,100,,1.0,40
S_nfQljzzgB5uWYLny,6149385274,bike,LG 2016 Salsa Fargo X7,"Selling my drop bar mtb. 2016 Salsa Fargo, size large, 20"" this bike is built for bikepacking and off road exploration, but can handle most anything you throw at it including my principal use commuting. Bike is all stock with sram x7 front and rear der. WTB OEM wheels and saddle. 42/28 tooth chainrings and 11-36 10sp cassette. Avid BB7 mechanical disk brakes. Only about 1300 miles on the bike and just a couple hundred on the original schwalbe 29 x 2.25 tires. Bike has never been crashed but has paint chips here and there and a noticeable scuff on the down tube from my oversized water bottle, but otherwise in very good condition. Selling mostly because it's too small, and the off road exploration hasn't materialized like I had hoped. The rear rack is included and I have a spare set of 29 x 2.0 commuting tires.  Asking 1000.",1000,bike/6149385274_0.jpg,600,,1000,,1.0,400
S_hhSwhodYJP62jdJy,6133343675,car,2003 Chevy Express 3500 Cargo Van,"2003 Chevy express cargo van. Runs great, has a V8 engine & Automatic transmission. Clean title Call for more info 510-42 7-9555 Keywords: Chevy express gmc savanna cargo van work van",3950,car/6133343675_0.jpg,3002,,3950,,0.6,948
S_TyOUzqF44pbKDzQ7,6132617070,housing,"""FULLY REMODELED"" 1 Bdrm, 1 Bath, 5plex","1656 14th Street Rooms: 1 bed / 1 bath Type: 5plex City/Neighborhood: West Oakland Showing: By Appointment Only Utilities: Paid by tenant (not included in rent amount) Features: New Floors while the kitchen comes equipped with a stainless steel stove, microwave, refrigerator To view more properties please visit smcrents.com and click on available and upcoming tab (call only) or",1795,housing/6131520235_0.jpg,1364,,1795,,0.6,431
S_CvZboPau2O1EUiDS,6132725826,car,2007 Mazda cx-9,2007 Mazda cx-9 2wheel drive. Truck has 138k miles. Did all brakes and rotors all around also just did tune up and transmission flush a week ago. Clean title. Also come with 22 inch rims and stock tires.,8800,car/6132725826_0.jpg,8096,,8800,,0.2,704
S_2H0268vmgYUENOfO,6114049578,housing,Central Alameda One Bed One Bath-1214 Chestnut Street #A,"Middle level one bedroom one bathroom within a large Victorian. Located next door to the Chestnut Encinal Market, this unit features dark hardwood floors, updated cabinets in the kitchen, gas stove and a dishwasher. With an updated vanity in the bathroom, this home gets great natural sunlight and is a must see for those looking to be located in Central Alameda. One year lease, no pets, tenant pays gas, electricity and splits one time 30% rental fee with owner. Coin laundry located on site and street parking only. One year lease, no pets, tenant pays gas, electricity and splits one time 30% rental fee with owner. Coin laundry located on site and street parking only. Unit available now, give our office a call to schedule a showing.",1700,housing/6114049578_0.jpg,1564,,1700,,0.2,136
S_jM44gdmQEXs3Adt8,6114793364,car,2014 TOYOTA PRIUS Hybrid,"Hi, I'm selling my 2014 Toyota Prius. It has only 65k miles. Backup camera, Bluetooth, CD, AUX, Keyless Go, There was no, engine, or transmission damage. Very clean inside, never smoke. Well maintained. Oil change every 5k miles with synthetic Toyota Original Oil. Registered until February 2019. Title on hands. It lost its clean title status due to rear bumper hit. Small scratch on the right side. I'm the second owner and had no any problem with it. The car is great, 50+ MPG. Will run 100k miles more easily. Call me or better text at any time",8900,car/6114793364_0.jpg,6764,,8900,,0.6,2136
S_TCC395CTUHTvjqlG,6140683076,electronics,Canon Vixia HF R500 Camcorder,"Got this off of Amazon and then was gifted an Iphone.  Perfect for the person who does not own a smartphone or wants a camcorder that is just a bit ""better"" suited for taking videos than what most smartphones offer.  Comes in the box with all of the parts and wrappings as it would straight from the manufacturer. Click the link for a detailed description: https://www.amazon.com/Canon-Digital-Camcorder-Discontinued-Manufacturer/dp/B00HLDFTRS/ref=sr_1_5?ie=UTF8&qid=1495320575&sr=8-5&keywords=vixia+hfr500 Willing to send additional pics on request.",100,,76,,100,,0.6,24
S_o8yC3LOSlSb4K37D,6151056638,bike,Marinoni Ciclo T-3,"Pristine condition, new Conti 4000 tires, Selle saddle, well- maintained gorgeous red, white, and black Marinoni light high quality steel bicycle with carbon forks.  The last Marinoni Ciclo T-3 to come to Bay Area from Montreal, Canada.  A pleasure to ride, responsive to the road, for long rides and speed. Campagnolo Centaur Ultra-Drive 10 13-29 Cassette, Campagnolo Centaur Ultra Torque 10-Speed Carbon Compact Crankset 34-50, and Campy Scirocco Black Clincher Wheelset, and Ritchey Logic Pro 46cm 26.0 Anatomic Single Groove Drop Handlebar, all in excellent condition.  Two matching red water bottle cages, extra Centaur Utra-narrow chain, and Lezyne tire pump.",1100,,660,,1100,,1.0,440
S_nTNog42XJJtO16O0,6147550187,bike,Classic Schwinn Bike working in perfect condition,"Great city bike for a female, seat can be adjusted for heights from about 5'3 - 5'7 I'm also throwing in a lock. The bike has 6 gears and a new back wheel and two new tubes.",85,bike/6147550187_0.jpg,64,,85,,0.6,21
S_mmWVTrx6bkxSqb02,6141913989,bike,2015 Intense Carbine (27.5/650b) Full Carbon - Large,"As you can see in the pictures this bike is nearly brand new. It has full XT components, Fox Fork/Shock, and upgraded Novatec wheelset and hubs. All in like new condition. Size is Large. Please let me know if you have any additional questions.",2650,bike/6141913989_0.jpg,2438,,2650,,0.2,212
S_R0AB3xadJEDn9eqs,6115597638,housing,3 Bedroom 2 Bath House in Irvington District of Fremont * Granite *,"Lovely 3 bedroom, 2 bath house in Fremont. 2 car garage. Kitchen features gorgeous granite counters, stylish cabinets and gleaming wood laminate floors. Laundry hookups in garage. Fenced yard. Excellent commute location near I-880 and I-680. Located in the desirable Irvington High School attendance area. Near schools, parks, restaurants, and shopping. Adorable home, great value! Square footage is approximate and does not determine rental rate. Call today to schedule a tour of this beautiful home. Offered by Premier Properties",2650,housing/6115597638_0.jpg,2014,,2650,,0.6,636
S_pQjFIH4Vqn0h8PhQ,6153905936,bike,AXO Padlock Off Road Gloves.  New!,Red. Has all the special features of the current model gloves. Pick up in Fremont. Call Robert at No texting. Can ship.,10,,9,,10,,0.2,1
S_DMJU8yDabkP1WS5i,6120824717,electronics,Macbook pros Macbook airs,looking for a macbook pro or macbook air I can arrange all kinds of MacBooks All macbooks serviced by certified apple technican all will look and function like new. Final Cut Pro. Microsoft Office 2016. Bluetooth. CD DVD player/burner. headphones jack. I can meet at a halfway point to cut down your drive time. thanks for looking.,300,electronics/6120824717_0.jpg,228,,300,,0.6,72
S_o0RoBdkljYGesMrT,6131664251,housing,One Bedroom,"Large One Bedroom, 4 blocks from UC, spacious, with extra closet, full kitchen, balcony. Short distance to Bart, shopping, bus. It is an amazing One Bedroom 1 bath apartment The location is fabulous! Only 4 Blocks away from UC Berkeley campus, walking distance to bart, shopping, restaurants, and entertainment Downtown Berkeley. No pets. AVAILABLE June 1st Some with xcellent View!!!",2200,housing/6131663768_0.jpg,1320,,2200,,1.0,880
S_CfGrM9Npoh6dDexf,6149173142,bike,Marin Coast Trail,"Wheels and Tires Tires: 26 x 1.95inch Kenda Krossplus Spoke Brand: Stainless steel, 14ga. (2.0mm) straight gauge Shift Levers: Shimano Altus EF-29 Crankset: SR Suntour NEX, 28/38/48 teeth Bottom Bracket: Sealed cartridge Rear Cogs: 7-speed, 13 - 34 teeth Headset: 1 1/8inch threaded sealed mechanism",120,bike/6149173142_0.jpg,110,,120,,0.2,10
S_ZmCS78FuwwLsfDzH,6133256508,car,2008 Toyota Yaris,"Hello, I am selling my 2008 Toyota Yaris with CA clean title (Tags and reg are current) in GREAT and running condition -Blows cold A/c and warm heater -Just changed the Oil & filter -Tires are great -CD AM FM AUX -Great Gas saver only 4 cylinders, Just passed smog (certificate on hand)",4100,car/6133256508_0.jpg,2460,,4100,,1.0,1640
S_ZSB6mC3zQHLPf1iZ,6145128869,furniture,Vintage Rattan Trunk,"Back in the 70's there was a marvelous second-hand store on 13th Street close to MacDonald Avenue in Richmond called Value Village. One day I was shopping there in the upstairs loft area and came upon a filthy canvas covered box. Ill-concealing my contempt, I kicked it and it skittered across the floor. Intrigued, I opened it up and discovered a rattan trunk from the South Pacific and World War II. I stripped off the canvas and revealed what you see in these photos. We have used it since as a coffee table, for linen storage and as a laundry bin. It's a very versatile piece of furniture and is lightweight. It has nice, chunky, heavy-duty brass hardware. Dimensions: 39 "" long 25"" wide 19"" tall",250,furniture/6145128869_0.jpg,150,,250,,1.0,100
S_eI8aOlw3VZPwk3VU,6127132876,housing,"Cable/Satellite, Carport, On-Site Maintenance","Come home to The Henley located in Suisun City, CA. The Henley is a short distance from Fairfield, Napa, Vacaville, Sacramento, San Francisco, and the greater Bay Area via Hwy 12 or I-80. Shopping will be a breeze with the Vacaville Outlets, Solano Mall and Westfield Mall close by. Want to get away? Driving will be quick to a number of fantastic destinations such as the Napa Valley Wine District, San Francisco Fisherman's Wharf, Suisun City Wildlife Center or Suisun City Marina. Local schools include Suisun Elementary, Crystal Middle School, Armijo High School, Solano Community College, National University-Fairfield and the University of Phoenix-Fairfield. Our spacious one and two bedroom apartment homes have been carefully designed with your friends and family in mind. Our recently renovated interiors feature refrigerators, dishwashers, and stoves with brushed nickel hardware, light fixture accents and two tone painted walls. Catch some sun at the pool or enjoy our fully equipped fitness center that includes cardio, strength, and resistance equipment. The Henley is a pet friendly community, welcoming both cats and dogs. -Freeway Access -Controlled Access -Pets Allowed -Accept Credit Card Payments -Disability Access",1645,housing/6127132876_0.jpg,987,,1645,,1.0,658
S_SFTX8QWI7JxZCAyY,6133458899,housing,Beautiful SUNNY unit Near North Berkeley BART,"Nice & quiet neighborhood, away from the city noise, yet Very central & near everything . . . Close to buses, grocery, cafe and restaurants . . . Ideal for downtown Berkeley, UC Berkeley, Extension and San Francisco . . . Only 2 minutes walk to University ave., shops, cafes Second floor of an 8_unit building, hardwood floor. Sunny, full of windows. Kitchen is in the living room. furnished , unfurnished or semi furnished. Available July 1 call for viewing: ( 10:30am   7:00pm) after 1pm, you can also call:",1915,housing/6133458899_0.jpg,1761,,1915,,0.2,154
S_RMF5oFivU7Q6nUcw,6106078467,housing,"Charming 2 Bed 1 Bath Home in Upper Diamond, Yard, Storage","Welcome home to this charming and sweet two bedroom one bath bungalow in the Upper Dimond District. This beautifully maintained home boasts of original hardwood floors splashed with espresso, upgraded bathroom and kitchen that overlooks a lush backyard garden, and a spacious living/dining area. This property is in a great, friendly neighborhood convenient to Farmer Joe's Marketplace, Peet's, La Farine Bakery, restaurants, Montclair Village, and several East Bay Regional Parks, with easy access to Highways 580 & 13, Casual Carpool pick up spot, and AC Transit Express buses to San Francisco. One Year Lease, Renters Insurance Required, Tenant Pays All Utilities",3000,housing/6106078467_0.jpg,2760,,3000,,0.2,240
